id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id
643,SM01,SM01,24,36,10446,0.00E+00,2008,2008,L029254,700667,10,10,1000,1,1000,,,
644,SM02,SM02,24,36,10447,0.00E+00,2008,2008,L029255,700695,10,10,1000,1,1000,,,
645,SM03,SM03,24,36,10443,0.00E+00,2008,2008,L029256,700723,10,10,1000,1,1000,,,
646,SM04,SM04,24,36,10444,0.00E+00,2008,2008,L028915,700658,10,10,1000,1,1000,,,
647,SM05,SM05,24,36,10441,0.00E+00,2008,2008,L028916,700649,10,10,1000,1,1000,,,
648,SM06,SM06,24,36,10448,0.00E+00,2008,2008,L029264,700714,10,10,1000,1,1000,,,
649,SM07,SM07,24,36,10442,0.00E+00,2008,2008,L029253,700630,10,10,1000,1,1000,,,
650,SM08,SM08,24,36,10445,0.00E+00,2008,2008,L029252,700644,10,10,1000,1,1000,,,
651,SM09,SM09,24,37,134836,51C-33460,2013,2013,DK000327,DE12TIS324366CA,10,10,1000,1,1000,,,
652,SM10,SM10,24,37,134831,51C-33332,2013,2013,DK000328,DE12TIS324266CA,10,10,1000,1,1000,,,
653,SM11,SM11,24,37,134834,51C-33431,2013,2013,DK000326,DE12TIS324380CA,10,10,1000,1,1000,,,
654,SM12,SM12,24,37,135468,51C-33161,2013,2013,DK000352,DE12TIS324944CA,10,10,1000,1,1000,,,
655,SM14,SM14,24,37,135467,51C-33436,2013,2013,DK000349,DE12TIS324878CA,10,10,1000,1,1000,,,
656,SM15,SM15,24,37,135470,51C-33484,2013,2013,DK000350,DE12TIS326689CA,10,10,1000,1,1000,,,
657,SM16,SM16,24,37,135469,51C-36261,2013,2013,DK000351,DE12TIS324921CA,10,10,1000,1,1000,,,
658,SM17,SM17,24,37,135472,51C-36278,2013,2013,DK000353,DE12TIS324804CA,10,10,1000,1,1000,,,
659,SM18,SM18,24,37,154569,51C-33349,2014,2014,EK000371,D12TIS327507CA,10,10,1000,1,1000,,,
660,SM19,SM19,24,37,154561,51C-33367,2014,2014,EK000376,D12TIS327461CA,10,10,1000,1,1000,,,
661,SM20,SM20,24,37,154576,51C-33475,2014,2014,EK000358,D12TIS327244CA,10,10,1000,1,1000,,,
662,SM21,SM21,24,37,154572,51C-36016,2014,2014,EK000377,D12TIS327510CA,10,10,1000,1,1000,,,
663,SM22,SM22,24,37,154575,51C-36029,2014,2014,EK000375,D12TIS327460CA,10,10,1000,1,1000,,,
664,SM23,SM23,24,37,154564,51C-36047,2014,2014,EK000370,D12TIS327462CA,10,10,1000,1,1000,,,
665,SM24,SM24,24,37,154563,51C-36056,2014,2014,EK000373,D12TIS327511CA,10,10,1000,1,1000,,,
666,SM25,SM25,24,37,154566,51C-36085,2014,2014,EK000359,D12TIS327250CA,10,10,1000,1,1000,,,
667,SM26,SM26,24,38,75809,51C-21206,2008,2008,A725268,7001547,10,10,1000,1,1000,,,
668,SM27,SM27,24,38,75812,51C-21208,2008,2008,A725265,7003017,10,10,1000,1,1000,,,
669,SM28,SM28,24,38,75814,51C-21248,2008,2008,A725266,7001437,10,10,1000,1,1000,,,
670,SM29,SM29,24,38,75813,51C-21274,2008,2008,A725270,7003897,10,10,1000,1,1000,,,
671,SM30,SM30,24,38,75804,51C-20811,2008,2008,A725269,817003007,10,10,1000,1,1000,,,
672,SM31,SM31,24,38,75806,51C-20957,2008,2008,A725267,817001447,10,10,1000,1,1000,,,
673,SM32,LB01,24,25,33869,50KT-000.37,2011,2011,56735,214010,2,10,1000,5,1000,,,
674,SM33,LB02,24,25,33872,50KT-000.38,2011,2011,55145,211205,2,10,1000,5,1000,,,
675,SM34,LB03,24,25,33871,50KT-000.39,2011,2011,56739,214159,2,10,1000,5,1000,,,
676,SM35,LB04,24,25,33874,50KT-000.40,2011,2011,214011,56736,2,10,1000,5,1000,,,
677,SM36,LB06,24,25,33873,50KT-000.41,2011,2011,214158,56737,2,10,1000,5,1000,,,
678,SM37,LB07,24,25,33876,50KT-000.42,2011,2011,56738,214157,2,10,1000,5,1000,,,
679,SM38,LB08,24,25,33875,50KT-000.43,2011,2011,55146,211204,2,10,1000,5,1000,,,
680,SM49,SM49,24,25,84506,51C -23038,2013,2013,70126,238253,10,10,1000,5,1000,,,
681,SM50,SM50,24,25,84505,51C- 24269,2013,2013,70122,238413,10,10,1000,5,1000,,,
682,SM51,SM51,24,25,84508,51C- 24281,2013,2013,70127,238255,10,10,1000,5,1000,,,
683,SM52,SM52,24,25,84507,51C-24353,2013,2013,70125,238254,10,10,1000,5,1000,,,
684,SM53,SM53,24,25,84512,51C-24477,2013,2013,C070124,238414,10,10,1000,1,1000,,,
685,SM54,SM54,24,25,88453,51C- 24045,2013,2013,C071173,241932,10,10,1000,5,1000,,,
686,SM55,SM55,24,25,88456,51C-24132,2013,2013,C071174,241665,10,10,1000,5,1000,,,
687,SM56,SM56,24,25,88455,51C- 24136,2013,2013,C071117,241666,10,10,1000,5,1000,,,
688,SM57,SM57,24,25,88458,51C-24173,2013,2013,C071178,242744,10,10,1000,5,1000,,,
689,SM58,SM58,24,25,88457,51C-24177,2013,2013,C071116,241368,10,10,1000,5,1000,,,
690,SM59,SM59,24,25,88459,51C-24442,2013,2013,C069119,233602,10,10,1000,5,1000,,,
691,SM60,SM60,24,25,107467,51C- 24131,2013,2013,C071795,243727,10,10,1000,1,1000,,,
692,SM61,SM61,24,25,107459,51C-27871,2013,2013,C071792,243375,10,10,1000,1,1000,,,
693,SM62,SM62,24,25,107464,51C-27957,2013,2013,C071791,243373,10,10,1000,5,1000,,,
694,SM63,SM63,24,25,107463,51C-27973,2013,2013,C071797,243728,10,10,1000,1,1000,,,
695,SM64,SM64,24,37,154571,51C-36240,2014,2014,EK000379,D12TIS327512CA,10,10,1000,1,1000,,,
696,SM65,SM65,24,37,154565,51C-36286,2014,2014,EK000372,D12TIS327508CA,10,10,1000,1,1000,,,
697,SM66,SM66,24,37,154568,51C-36353,2014,2014,EK000374,D12TIS327509CA,10,10,1000,1,1000,,,
698,SM67,SM67,24,37,154567,51C-36422,2014,2014,EK000378,D12TIS327513CA,10,10,1000,1,1000,,,
699,SM68,SM68,24,37,167134,51C-33129,2014,2014,EK000425,D12TIS430773CA,10,10,1000,1,1000,,,
700,SM69,SM69,24,37,167133,51C-36030,2014,2014,EK000468,D12TIS430464CA,10,10,1000,1,1000,,,
701,SM70,SM70,24,37,167136,51C-36060,2014,2014,EK000430,D12TIS430881CA,10,10,1000,1,1000,,,
702,SM71,SM71,24,37,167135,51C-36091,2014,2014,EK000428,D12TIS430888CA,10,10,1000,1,1000,,,
703,SM72,SM72,24,37,167149,51C-36168,2014,2014,EK000429,D12TIS430876CA,10,10,1000,1,1000,,,
704,SM73,SM73,24,37,167125,51C-36467,2014,2014,EK000466,D12TIS430768CA,10,10,1000,1,1000,,,
705,SM74,SM74,24,37,167128,51C-36485,2014,2014,EK000465,D12TIS430769CA,10,10,1000,1,1000,,,
706,SM75,SM75,24,37,167137,51C-38020,2014,2014,EK000426,D12TIS430463CA,10,10,1000,1,1000,,,
707,SM76,SM76,24,37,167140,51C-38063,2014,2014,EK000464,D12TIS430328CA,10,10,1000,1,1000,,,
708,SM77,SM77,24,37,167139,51C-38277,2014,2014,EK000462,D12TIS430284CA,10,10,1000,1,1000,,,
709,SM78,SM78,24,37,172339,51C-40817,2014,2014,EK000435,D12TIS430834CA,10,10,1000,1,1000,,,
710,SM79,SM79,24,37,172342,51C-40853,2014,2014,EK000427,D12TIS430857CA,10,10,1000,1,1000,,,
711,SM80,SM80,24,37,172341,51C-40863,2014,2014,EK000436,D12TIS430831CA,10,10,1000,1,1000,,,
712,SM81,SM81,24,37,172344,51C-40882,2014,2014,EK000431,D12TIS430828CA,10,10,1000,1,1000,,,
713,SM82,SM82,24,37,172343,51C-40885,2014,2014,EK000437,D12TIS430827CA,10,10,1000,1,1000,,,
714,SM83,SM83,24,37,172345,51C-40897,2014,2014,EK000432,D12TIS430835CA,10,10,1000,1,1000,,,
715,SM84,SM84,24,37,172348,51C-40902,2014,2014,EK000439,D12TIS430917CA,10,10,1000,1,1000,,,
716,SM85,SM85,24,37,172350,51C-41003,2014,2014,EK000438,D12TIS430830CA,10,10,1000,1,1000,,,
717,SM86,SM86,24,37,172352,51C-41015,2014,2014,EK000467,D12TIS430454CA,10,10,1000,1,1000,,,
718,SM87,SM87,24,37,172351,51C-41089,2014,2014,EK000441,D12TIS430894CA,10,10,1000,1,1000,,,
719,SM88,SM88,24,37,,51C-40916,2014,2014,EK000483,D12TIS431665CA,10,10,1000,1,1000,,,
720,SM89,SM89,24,37,,51C-40947,2014,2014,EK000485,D12TIS431694CA,10,10,1000,1,1000,,,
721,SM90,SM90,24,37,,51C-41007,2014,2014,EK000480,D12TIS431600CA,10,10,1000,1,1000,,,
722,SM91,SM91,24,37,,51C-41033,2014,2014,EK000482,D12TIS431606CA,10,10,1000,1,1000,,,
723,SM92,SM92,24,37,,51C-41248,2014,2014,EK000481,D12TIS431603CA,10,10,1000,1,1000,,,
724,SM93,SM93,24,37,,51C-40951,2014,2014,EK000478,D12TIS431544CA,10,10,1000,1,1000,,,
725,SM94,SM94,24,37,,51C-41231,2014,2014,EK000479,D12TIS431558CA,10,10,1000,1,1000,,,
726,SM95,SM95,24,37,,51C-41267,2014,2014,EK000487,D12TIS431702CA,10,10,1000,1,1000,,,
727,SM96,SM96,24,37,176838,51C-43901,2014,2014,EK000491,D12TIS431812CA,10,10,1000,1,1000,,,
728,SM97,SM97,24,37,176839,51C-43976,2014,2014,EK000492,D12TIS431811CA,10,10,1000,1,1000,,,
729,SM98,SM98,24,37,20984,51C-46706,2014,2014,EK000662,D12TIS433944CA,10,10,1000,1,1000,,,
730,SM99,SM99,24,37,33468,51C-48302,2014,2014,FK007340,DV15TIS412298CB,10,10,1000,1,1000,,,
731,SM100,SM100,24,37,33470,51C-48375,2014,2014,FK007344,DV15TIS412935CB,10,10,1000,1,1000,,,
732,SM101,SM101,24,37,33469,51C-48457,2014,2014,FK007347,DV15TIS412997CB,10,10,1000,1,1000,,,
733,SM102,SM102,24,37,33472,51C-48459,2014,2014,FK007337,DV15TIS412891CB,10,10,1000,1,1000,,,
734,SM103,SM103,24,37,33450,51C-48498,2014,2014,FK007334,DV15TIS412898CB,10,10,1000,1,1000,,,
735,SM104,SM104,24,37,33437,51C-48532,2014,2014,FK007343,DV15TIS412976CB,10,10,1000,1,1000,,,
736,SM105,SM105,24,37,33452,51C-48593,2014,2014,FK007335,DV15TIS412890CB,10,10,1000,1,1000,,,
737,SM106,SM106,24,37,33451,51C-48598,2014,2014,FK007342,DV15TIS412838CB,10,10,1000,1,1000,,,
738,SM107,SM107,24,37,33440,51C-48607,2014,2014,FK007341,DV15TIS412973CB,10,10,1000,1,1000,,,
739,SM108,SM108,24,37,33455,51C-48649,2014,2014,FK007336,DV15TIS412882CB,10,10,1000,1,1000,,,
740,TCMT01,TCMT-36549,24,37,,51C-36549,2014,2014,,,16,16,1000,17,1000,,,
741,TCMT02,TCMT-36537,24,37,,51C-36537,2014,2014,,,16,16,1000,17,1000,,,
742,TCMT03,TCMT -04460,24,37,,72C -04460,2014,2014,,,16,16,1000,17,1000,,,
743,TCMT04,TCMT-36617,24,37,,51C-36617,2014,2014,,,16,16,1000,17,1000,,,
744,TCMT05,TCMT-36538,24,37,,51C-36538,2014,2014,,,16,16,1000,17,1000,,,
745,TCMT06,TCMT-36602,24,37,,51C-36602,2014,2014,,,16,16,1000,17,1000,,,
746,TCMT07,TCMT-46723,24,37,,51C-46723,2014,2014,,,16,16,1000,17,1000,,,
