id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id,created_at,updated_at
94,LBR128,LBR128,6,6,,,0,0,,,9,9,1000,6,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
95,QC40-01,QC40-01,7,8,"QC 40-01",19MT-745,1995,1995,718,45.19439,2,8,1000,5,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
96,QC40-02,QC40-02,7,8,"QC 40-02",19MT-746,1995,1995,717,45.105.425,2,8,1000,5,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
97,QC40-03,QC40-03,7,8,"QC 40-03",19MT-747,1995,1995,716,45.097.209,2,8,1000,5,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
98,QC40-04,QC40-04,7,8,"QC 40-04",19MT-739,1995,1995,728,45.163.870,2,3,1000,6,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
99,QC40-05,QC40-05,7,8,"QC 40-05",19MT-740,1995,1995,729,45.119.417,2,3,1000,6,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
100,QC40-06,QC40-06,7,8,"QC 40-06",19MT-750,1995,1995,727,45.105.496,2,8,1000,5,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
101,QC40-07,QC40-07,7,8,"QC 40-07",19MT-742,1996,1996,815,45.320.266,2,3,1000,6,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
102,QC40-08,QC40-08,7,8,"QC 40-08",19MT-743,1996,1996,813,45.342.358,2,8,1000,5,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
103,QC40-09,QC40-09,7,8,"QC 40-09",19MT-744,1996,1996,816,45.342.359,2,3,1000,6,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
104,QC40-10,QC40-10,10,9,"QC 40-10",19MT-1514,1995,2003,,,11,11,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
105,QC40-11,QC40-11,7,8,"QC 40-11",19MT-1513,1995,2003,,,2,2,1000,7,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
106,QC40-12,QC40-12,7,8,"QC 40-12",19MT-2853,1995,2003,,,2,2,1000,7,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
107,QC40-13,QC40-13,10,9,"QC 40-13",19MT-1506,1998,2004,,,2,13,1000,4,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
108,QC40-14,QC40-14,10,9,"QC 40-14",19MT-1507,1998,2004,,,2,13,1000,4,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
109,QC40-15,QC40-15,10,9,"QC 40-15",19MT-1498,1998,2004,,,2,13,1000,4,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
110,QC40-16,QC40-16,10,9,"QC 40-16",19MT-1500,1998,2004,,,2,3,1000,10,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
111,QC40-17,QC40-17,10,9,"QC 40-17",19MT-1499,1998,2004,,,2,3,1000,10,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
112,QC40-18,QC40-18,7,8,"QC 40-18",19MT-1794,2006,2006,1624,46553564,2,2,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
113,QC40-19,QC40-19,7,8,"QC 40-19",19MT-1796,2006,2006,1622,46553562,2,1,1000,19,1000,,,21,"2015-05-04 08:55:50","2015-05-06 07:32:00"
114,QC40-20,QC40-20,7,8,"QC 40-20",19MT-1797,2006,2006,718,45.19439,3,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
115,QC40-21,QC40-21,7,8,"QC 40-21",19MT-1799,2006,2006,717,45.105.425,3,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
116,QC40-22,QC40-22,7,8,"QC 40-22",19MT-1798,2006,2006,716,45.097.209,3,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
117,QC40-23,QC40-23,7,8,"QC 40-23",19MT-1793,2006,2006,,,2,2,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
118,QC40-24,QC40-24,7,8,"QC 40-24",19MT-1795,2006,2006,,,2,2,1000,19,1000,,,21,"2015-05-04 08:55:50","2015-05-06 07:32:16"
119,QC40-25,QC40-25,7,8,"QC 40-25",19MT-1792,2006,2006,,,2,2,1000,19,1000,,,21,"2015-05-04 08:55:50","2015-05-06 07:32:45"
120,QC40-26,QC40-26,7,8,"QC 40-26",19MT-1800,2006,2006,,,2,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
121,QC40-27,QC40-27,7,8,"QC 40-27",19MT-1801,2006,2006,,,2,1,1000,19,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
122,QC40-28,QC40-28,8,7,"QC 40-28",19MT-2144,2008,2008,40694,79959552,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
123,QC40-29,QC40-29,8,7,"QC 40-29",19MT-2143,2008,2008,40691,79259551,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
124,QC40-30,QC40-30,8,7,"QC 40-30",19MT-2142,2008,2008,40693,79259554,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
125,QC40-31,QC40-31,8,7,"QC 40-30",19MT-2135,2008,2008,40692,79259553,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
126,QC40-32,QC40-32,8,7,"QC 40-32",19MT-2128,2008,2008,40696,79263581,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
127,QC40-33,QC40-33,8,7,"QC 40-33",19MT-2134,2008,2008,40695,79252625,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
128,QC40-34,QC40-34,8,7,"QC 40-34",19MT-2133,2008,2008,40697,79266792,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
129,QC40-35,QC40-35,8,7,"QC 40-35",19MT-2131,2008,2008,40698,79263584,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
130,QC40-36,QC40-36,8,7,"QC 40-36",19MT-2132,2008,2008,40699,79263582,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
131,QC40-37,QC40-37,8,7,"QC 40-37",19MT-2130,2008,2008,40700,79263583,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
132,QC40-38,QC40-38,8,7,"QC 40-38",19MT-2127,2008,2008,40717,79290324,2,1,1000,12,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
133,QC40-39,QC40-39,8,7,"QC 40-39",19MT-2139,2008,2008,40718,79290325,2,1,1000,12,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
134,QC40-40,QC40-40,8,7,"QC 40-40",19MT-2126,2008,2008,40720,79287681,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
135,QC40-41,QC40-41,8,7,"QC 40-41",19MT-2141,2008,2008,40719,79287682,2,1,1000,12,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
136,QC40-42,QC40-42,8,7,"QC 40-42",19MT-2129,2008,2008,40721,79285601,2,1,1000,12,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
137,QC40-43,QC40-43,8,7,"QC 40-43",19MT-2140,2008,2008,40722,79280351,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
138,QC40-44,QC40-44,7,8,"QC 40-44",,1997,2009,,49702108,3,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
139,QC40-45,QC40-45,7,8,"QC 40-45",,1997,2009,,49702109,3,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
140,QC40-46,QC40-46,7,8,"QC 40-46",19MT-2917,1997,2009,,49702112,3,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
141,QC40-47,QC40-47,8,17,"QC 40-47",19MT-2414,2009,2009,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
142,QC40-48,QC40-48,8,17,"QC 40-48",19MT-2412,2009,2009,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
143,QC40-49,QC40-49,8,10,"QC 40-49",19MT-2551,2010,2010,M01-02,,11,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
144,QC40-50,QC40-50,8,10,"QC 40-50",19MT-2552,2010,2010,M01-01,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
145,QC40-51,QC40-51,8,7,"QC 40-51",19MT-2673,2010,2011,40963,79396416,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
146,QC40-52,QC40-52,8,7,"QC 40-52",19MT-2673,2010,2011,40964,79435599,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
147,QC40-53,QC40-53,8,7,"QC 40-53",19MT-2670,2010,2011,40968,,3,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
148,QC40-54,QC40-54,8,7,"QC 40-54",19MT-2675,2010,2011,40969,,3,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
149,QC40-55,QC40-55,8,7,"QC 40-55",,2010,2011,40979,79435596,6,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
150,QC40-56,QC40-56,8,7,"QC 40-56",,2010,2011,40978,79435600,6,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
151,QC40-57,QC40-57,8,7,"G01 (40-57)",19MT-2232,2008,2008,40723,79285600,11,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
152,QC40-58,QC40-58,8,7,"G02 (40-58)",19MT-2235,2008,2008,40724,79280352,11,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
153,QC40-59,QC40-59,8,7,"G03 (40-59)",19MT-2236,2008,2008,40725,79280353,11,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
154,QC40-60,QC40-60,8,7,"G04 (40-60)",19MT-2452,2008,2008,40726,79266779,11,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
155,QC40-61,QC40-61,8,7,"G05 (40-61)",19MT-2233,2009,2010,40939,518300,11,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
156,QC40-62,QC40-62,8,7,"G06 (40-62)",19MT-2451,2009,2010,40942,793111571,11,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
157,QC40-65,QC40-65,8,7,"G07 (40-65)",19MT-2449,2009,2010,40944,79396414,11,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
